organism_name,common_name,description
Crocuta crocuta,spotted hyena,Description
Phocoena phocoena,harbor porpoise,Description
Cricetomys gambianus,Gambian giant pouched rat,Description
Capreolus pygargus,Eastern roe deer,Description
Tragulus javanicus,Java mouse-deer,Description
Macaca arctoides,stump-tailed macaque,Description
Megaderma lyra,Indian false vampire,Description
Martes zibellina,sable,Description
Chinchilla lanigera,long-tailed chinchilla,Description
Pedetes capensis,springhare,Description
Cebus imitator,Panamanian white-faced capuchin,Description
Myrmecobius fasciatus,numbat,Description
Ctenomys sociabilis,social tuco-tuco,Description
Cheirogaleus medius,Lesser dwarf lemur,Description
Elaphurus davidianus,Pere David's deer,Description
Mandrillus leucophaeus,drill,Description
Dipodomys stephensi,Stephens's kangaroo rat,Description
Hystrix brachyura,,Description
Propithecus coquereli,Coquerel's sifaka,Description
Semnopithecus entellus,Hanuman langur,Description
Inia geoffrensis,boutu,Description
Pseudois nayaur,bharal,Description
Platanista minor,Indus River dolphin,Description
Echinops telfairi,small Madagascar hedgehog,Description
Macrotus californicus,California big-eared bat,Description
Myotis davidii,,Description
Lepus americanus,snowshoe hare,Description
Apodemus speciosus,large Japanese field mouse,Description
Cavia aperea,Brazilian guinea pig,Description
Gulo gulo luscus,American wolverine,Description
Marmota marmota marmota,Alpine marmot,Description
Lama glama chaku,,Description
Dicerorhinus sumatrensis harrissoni,,Description
Otocolobus manul,Pallas's cat,Description
Eptesicus nilssonii,northern bat,Description
Sorex fumeus,smoky shrew,Description
Nanger dama,Dama gazelle,Description
Phyllostomus hastatus,greater spear-nosed bat,Description
Ateles geoffroyi,black-handed spider monkey,Description
Panthera pardus,leopard,Description
Mandrillus sphinx,mandrill,Description
Pygathrix nigripes,Black-shanked douc langur,Description
Nomascus siki,southern white-cheeked gibbon,Description
Tupaia tana,large tree shrew,Description
Microtus agrestis,short-tailed field vole,Description
Talpa occidentalis,Iberian mole,Description
Sturnira hondurensis,,Description
Typhlomys cinereus,Soft-furred tree mouse,Description
Halichoerus grypus,gray seal,Description
Lontra canadensis,Northern American river otter,Description
Gymnobelideus leadbeateri,Leadbeater's possum,Description
Capra sibirica,Siberian ibex,Description
Oryx dammah,scimitar-horned oryx,Description
Macroglossus sobrinus,,Description
Eira barbara,Tayra,Description
Pteropus giganteus,Indian flying fox,Description
Mustela nivalis,least weasel,Description
Mungos mungo,banded mongoose,Description
Anoura caudifer,tailed tailless bat,Description
Tonatia saurophila,stripe-headed round-eared bat,Description
Noctilio leporinus,greater bulldog bat,Description
Callorhinus ursinus,northern fur seal,Description
Tolypeutes matacus,,Description
